RMULT 5175444, 8128924, 365192, 5126712

           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           7264.141    47        4          0

FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.992      24.021  1        0    0    0     0      0
 STANOK1             75    0.175      16.964  1        0    0    0     0      0
 STANOK2             75    0.175      16.924  1        0    0    0     0      0
 STANOK3             75    0.176      17.079  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN             16    0     75      0     5.529    535.555    535.555   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT            16    0     75      0     6.335    613.531    613.531   0
