RMULT 9801535, 257489, 7621974, 304627

           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           7599.406    47        4          0

FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.945      23.928  1        0    0    0     0      0
 STANOK1             75    0.167      16.964  1        0    0    0     0      0
 STANOK2             75    0.169      17.166  1        0    0    0     0      0
 STANOK3             75    0.169      17.079  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN             12    0     75      0     3.606    365.362    365.362   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT            12    0     75      0     3.891    394.276    394.276   0
