RMULT 8038058, 9563251, 3286474, 2488633

           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           7553.032    47        4          0

FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.953      23.984  1        0    0    0     0      0
 STANOK1             75    0.168      16.964  1        0    0    0     0      0
 STANOK2             75    0.168      16.883  1        0    0    0     0      0
 STANOK3             75    0.170      17.079  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN             11    0     75      0     3.181    320.371    320.371   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT            11    0     75      0     3.499    352.325    352.325   0
