RMULT 5172979, 9469626, 7654598, 2823958

           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           7697.203    47        4          0

FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.934      23.952  1        0    0    0     0      0
 STANOK1             75    0.165      16.964  1        0    0    0     0      0
 STANOK2             75    0.164      16.866  1        0    0    0     0      0
 STANOK3             75    0.166      17.079  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN             15    0     75      0     3.970    407.481    407.481   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT            15    0     75      0     4.467    458.471    458.471   0
