RMULT 5434049, 2783694, 4245176, 8447761, 

           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           7327.671    47        4          0

FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.983      24.012  1        0    0    0     0      0
 STANOK1             75    0.174      16.964  1        0    0    0     0      0
 STANOK2             75    0.173      16.867  1        0    0    0     0      0
 STANOK3             75    0.175      17.079  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN             12    0     75      0     3.966    387.453    387.453   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT            12    0     75      0     4.358    425.814    425.814   0
