RMULT 2711404, 6698774, 3942332, 4356797

           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           7655.345    47        4          0

FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.943      24.058  1        0    0    0     0      0
 STANOK1             75    0.166      16.964  1        0    0    0     0      0
 STANOK2             75    0.166      16.905  1        0    0    0     0      0
 STANOK3             75    0.167      17.079  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              9    0     75      0     2.537    259.004    259.004   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT            10    0     75      0     2.769    282.590    282.590   0
