RMULT 1,3,4,5


           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           8169.635    47        4          0


FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.881      23.999  1        0    0    0     0      0
 STANOK1             75    0.157      17.051  1        0    0    0     0      0
 STANOK2             75    0.156      16.989  1        0    0    0     0      0
 STANOK3             75    0.153      16.676  1        0    0    0     0      0
 STANOK4             75    0.198      16.676  1        0    0    0     0      0

QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              5    0     75      0     0.927    101.027    101.027   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT             6    0     75      0     1.013    110.337    110.337   0
