RMULT 4599893, 832274, 9083731, 5641024

           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           7681.012    47        4          0

FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.939      24.043  1        0    0    0     0      0
 STANOK1             75    0.166      16.964  1        0    0    0     0      0
 STANOK2             75    0.166      17.036  1        0    0    0     0      0
 STANOK3             75    0.167      17.079  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN             17    0     75      0     4.351    445.607    445.607   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT            17    0     75      0     5.158    528.230    528.230   0
