RMULT 417483, 6267724, 9756208, 8844493

           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           7459.550    47        4          0

FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.967      24.044  1        0    0    0     0      0
 STANOK1             75    0.171      16.964  1        0    0    0     0      0
 STANOK2             75    0.167      16.658  1        0    0    0     0      0
 STANOK3             75    0.172      17.079  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              5    0     75      0     2.327    231.422    231.422   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT             5    0     75      0     2.349    233.680    233.680   0
