RMULT 1992136, 5280163, 6309680, 4218898

           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           7268.512    47        4          0

FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.992      24.042  1        0    0    0     0      0
 STANOK1             75    0.175      16.964  1        0    0    0     0      0
 STANOK2             75    0.177      17.110  1        0    0    0     0      0
 STANOK3             75    0.176      17.079  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              6    0     75      0     1.752    169.802    169.802   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT             6    0     75      0     1.853    179.559    179.559   0
