RMULT 4495781, 6788391, 3897248, 5182450

           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           7462.057    47        4          0


FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.964      23.981  1        0    0    0     0      0
 STANOK1             75    0.171      16.964  1        0    0    0     0      0
 STANOK2             75    0.173      17.236  1        0    0    0     0      0
 STANOK3             75    0.172      17.079  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN             13    0     75      0     3.445    342.740    342.740   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT            13    0     75      0     3.955    393.498    393.498   0
