RMULT 1184841, 5209490, 5218728, 8211005


           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           7269.630    47        4          0

FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.992      24.048  1        0    0    0     0      0
 STANOK1             75    0.175      16.964  1        0    0    0     0      0
 STANOK2             75    0.175      16.995  1        0    0    0     0      0
 STANOK3             75    0.176      17.079  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              7    0     75      0     2.154    208.754    208.754   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT             7    0     75      0     2.347    227.494    227.494   0
