RMULT 5007714, 2420424, 4546119, 9585569

           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           7270.039    47        4          0


FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.994      24.080  1        0    0    0     0      0
 STANOK1             75    0.175      16.964  1        0    0    0     0      0
 STANOK2             75    0.176      17.102  1        0    0    0     0      0
 STANOK3             75    0.176      17.079  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN             10    0     75      0     3.823    370.558    370.558   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT            10    0     75      0     4.091    396.551    396.551   0
