RMULT 1290753,1731509,9117059,4025862

           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           7316.987    47        4          0

FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.985      24.029  1        0    0    0     0      0
 STANOK1             75    0.176      17.191  1        0    0    0     0      0
 STANOK2             75    0.173      16.869  1        0    0    0     0      0
 STANOK3             75    0.172      16.740  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN             10    0     75      0     3.950    385.404    385.404   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT            10    0     75      0     4.361    425.478    425.478   0
