RMULT 3907718,6628240,3282896,2050957



           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000          10659.487    47        4          0


FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.617      21.915  1        0    0    0     0      0
 STANOK1             75    0.052       7.419  1        0    0    0     0      0
 STANOK2             75    0.086      12.187  1        0    0    0     0      0
 STANOK3             75    0.143      20.258  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              4    0     75      0     0.314     44.574     44.574   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     73     0.000      0.038      1.421   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT             4    0     75      0     0.331     46.985     46.985   0
