RMULT 8555044,3474409,5398467,8299869



           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000          12183.596    47        4          0


FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.542      22.010  1        0    0    0     0      0
 STANOK1             75    0.044       7.072  1        0    0    0     0      0
 STANOK2             75    0.074      11.944  1        0    0    0     0      0
 STANOK3             75    0.125      20.249  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              2    0     75      0     0.212     34.431     34.431   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     72     0.000      0.026      0.640   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT             2    0     75      0     0.195     31.697     31.697   0
