RMULT 7005384,2464173,8004451,141374



           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000          13000.684    47        4          0


FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.507      21.985  1        0    0    0     0      0
 STANOK1             75    0.038       6.553  1        0    0    0     0      0
 STANOK2             75    0.071      12.236  1        0    0    0     0      0
 STANOK3             75    0.118      20.394  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              2    0     75      0     0.180     31.219     31.219   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     70     0.001      0.110      1.654   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT             2    0     75      0     0.169     29.208     29.208   0
