RMULT 6332830,1712767,7425939,9572975



           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           9929.688    47        4          0


FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.666      22.037  1        0    0    0     0      0
 STANOK1             75    0.054       7.176  1        0    0    0     0      0
 STANOK2             75    0.087      11.479  1        0    0    0     0      0
 STANOK3             75    0.159      21.052  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              4    0     75      0     0.435     57.606     57.606   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     66     0.001      0.196      1.634   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT             3    0     75      0     0.426     56.415     56.415   0
