RMULT 7360378,6051638,5330875,116594



           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000          12105.365    47        4          0


FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.545      21.983  1        0    0    0     0      0
 STANOK1             75    0.041       6.665  1        0    0    0     0      0
 STANOK2             75    0.074      11.916  1        0    0    0     0      0
 STANOK3             75    0.125      20.217  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              3    0     75      0     0.185     29.871     29.871   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     70     0.000      0.075      1.126   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT             3    0     75      0     0.185     29.844     29.844   0
