RMULT 4217262,3663038,762080,3182171



           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000          10582.329    47        4          0


FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.623      21.976  1        0    0    0     0      0
 STANOK1             75    0.053       7.527  1        0    0    0     0      0
 STANOK2             75    0.088      12.381  1        0    0    0     0      0
 STANOK3             75    0.144      20.337  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              3    0     75      0     0.302     42.659     42.659   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     73     0.000      0.047      1.762   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT             3    0     75      0     0.301     42.517     42.517   0
