RMULT 8267365,9097476,4762815,2431689



           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000          12447.846    47        4          0


FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.532      22.055  1        0    0    0     0      0
 STANOK1             75    0.043       7.057  1        0    0    0     0      0
 STANOK2             75    0.073      12.131  1        0    0    0     0      0
 STANOK3             75    0.121      20.162  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              3    0     75      0     0.201     33.376     33.376   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     73     0.000      0.078      2.928   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT             3    0     75      0     0.196     32.495     32.495   0
