RMULT 3544998,6085725,6868075,2354711



           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           9107.008    47        4          0


FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.728      22.097  1        0    0    0     0      0
 STANOK1             75    0.056       6.807  1        0    0    0     0      0
 STANOK2             75    0.100      12.178  1        0    0    0     0      0
 STANOK3             75    0.165      20.032  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              3    0     75      0     0.430     52.246     52.246   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     73     0.000      0.035      1.328   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT             3    0     75      0     0.401     48.706     48.706   0
