RMULT 6662663,9979167,991618,6340266



           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           9175.625    47        4          0


FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.720      22.016  1        0    0    0     0      0
 STANOK1             75    0.054       6.644  1        0    0    0     0      0
 STANOK2             75    0.098      11.956  1        0    0    0     0      0
 STANOK3             75    0.161      19.665  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              4    0     75      0     0.486     59.512     59.512   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     71     0.001      0.122      2.286   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT             4    0     75      0     0.501     61.324     61.324   0
