RMULT 6161023,8179160,1497748,3319017



           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000          12860.392    47        4          0


FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.513      22.000  1        0    0    0     0      0
 STANOK1             75    0.043       7.296  1        0    0    0     0      0
 STANOK2             75    0.068      11.698  1        0    0    0     0      0
 STANOK3             75    0.116      19.811  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              3    0     75      0     0.219     37.557     37.557   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     72     0.001      0.115      2.863   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT             2    0     75      0     0.210     35.954     35.954   0
