RMULT 8585880,9656758,6093676,8891738



           START TIME           END TIME  BLOCKS  FACILITIES  STORAGES
                0.000           9907.877    47        4          0


FACILITY         ENTRIES  UTIL.   AVE. TIME AVAIL. OWNER PEND INTER RETRY DELAY
 ROBOT              300    0.666      21.985  1        0    0    0     0      0
 STANOK1             75    0.052       6.885  1        0    0    0     0      0
 STANOK2             75    0.091      11.997  1        0    0    0     0      0
 STANOK3             75    0.151      19.977  1        0    0    0     0      0


QUEUE              MAX CONT. ENTRY ENTRY(0) AVE.CONT. AVE.TIME   AVE.(-0) RETRY
 FMS_IN              3    0     75      0     0.375     49.512     49.512   0
 STANOK1_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK1_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK2_IN          1    0     75     75     0.000      0.000      0.000   0
 STANOK2_OUT         1    0     75     75     0.000      0.000      0.000   0
 STANOK3_IN          1    0     75     71     0.001      0.101      1.889   0
 STANOK3_OUT         1    0     75     75     0.000      0.000      0.000   0
 FMS_OUT             3    0     75      0     0.376     49.685     49.685   0
